iter	RMSE
152	57241.27156
153	57168.22874
154	57108.07231
155	57027.01808
156	56965.61736
157	56873.48541
158	56824.38619
159	56791.82213
160	56748.55109
161	56659.95186
162	56585.14896
163	56525.67787
164	56459.29797
165	56389.32376
166	56345.46374
167	56287.79629
168	56242.90716
169	56193.55887
170	56118.19385
171	56041.89142
172	55996.86851
173	55938.9538
174	55885.94548
175	55812.06776
176	55767.19782
177	55708.34545
178	55619.16786
179	55562.94528
180	55500.0036
181	55446.41372
182	55425.48132
183	55385.747
184	55351.2678
185	55298.36844
186	55235.60532
187	55182.73703
188	55114.01616
189	55084.94383
190	55070.56043
191	55022.17185
192	54962.80411
193	54940.58574
194	54873.33353
195	54824.73332
196	54796.76799
197	54782.07332
198	54739.22741
199	54699.40489
200	54650.05363
201	54609.50228
202	54543.19993
203	54510.20916
204	54453.19722
205	54425.67565
206	54388.21575
207	54367.28019
208	54319.29508
209	54286.85861
210	54250.36776
211	54190.66693
212	54147.01084
213	54077.64921
214	54049.46292
215	54008.10167
216	53985.16219
217	53919.99357
218	53883.55079
219	53816.35864
220	53771.76484
221	53706.31973
222	53660.4633
223	53639.35317
224	53567.64383
225	53532.14459
226	53503.79749
227	53460.74339
228	53421.64205
229	53389.23029
230	53330.66517
231	53320.59654
232	53300.06303
233	53256.97262
234	53227.87416
235	53191.85696
236	53151.31369
237	53106.90823
238	53087.56566
239	53014.80327
240	53000.47734
241	52984.67355
242	52953.65839
243	52918.8274
244	52899.42497
245	52863.35346
246	52812.80537
247	52786.78799
248	52756.69878
249	52709.88248
250	52675.13513
251	52598.57359
252	52547.67527
253	52528.98971
254	52509.12855
255	52481.18295
256	52462.00457
257	52444.25819
258	52390.22906
259	52360.34211
260	52343.22122
261	52306.97068
262	52277.19982
263	52259.96135
264	52229.14761
265	52212.86235
266	52175.80153
267	52132.69126
268	52100.85571
269	52084.38698
270	52056.66655
271	52041.93904
272	52003.69344
273	51991.11189
274	51977.9339
275	51923.33567
276	51893.48998
277	51881.42875
278	51837.70856
279	51775.20205
280	51719.96816
281	51642.38173
282	51628.03489
283	51547.87401
284	51489.18406
285	51473.12465
286	51456.82355
287	51439.38279
288	51413.75205
289	51396.58829
290	51375.643
291	51356.62738
292	51326.66731
293	51297.43547
294	51265.14014
295	51254.5899
296	51238.39041
297	51167.03844
298	51135.72841
299	51095.43986
300	51048.49553
301	51022.29869
302	50957.30307
303	50935.01481
304	50919.70725
305	50897.00065
306	50841.62106
307	50804.50586
308	50778.90339
309	50713.18393
310	50631.13462
311	50616.73851
312	50591.24356
313	50529.49853
314	50511.15273
315	50499.51571
316	50489.53405
317	50478.77761
318	50427.9023
319	50415.8844
320	50401.49115
321	50344.30416
322	50307.05197
323	50253.18927
324	50224.56977
325	50177.85844
326	50166.06573
327	50150.80548
328	50096.10534
329	49996.20717
330	49956.70398
331	49948.01488
332	49897.27326
333	49849.30646
334	49834.3838
335	49784.85987
336	49738.2973
337	49700.01906
338	49652.71326
339	49627.39167
340	49548.36579
341	49511.54436
342	49503.4145
343	49446.68637
344	49425.41444
345	49372.90442
346	49337.67792
347	49264.48766
348	49186.02501
349	49164.89138
350	49156.66746
351	49143.20519
352	49123.24664
353	49087.52597
354	49041.85362
355	49000.93488
356	48982.55476
357	48950.09354
358	48897.06834
359	48828.41804
360	48780.48055
361	48745.67043
362	48730.05556
363	48686.54377
364	48641.85452
365	48632.24014
366	48605.34051
367	48599.05697
368	48552.74674
369	48502.20004
370	48473.55396
371	48386.54724
372	48372.4409
373	48312.77419
374	48230.13265
375	48200.21745
376	48185.00947
377	48119.14259
378	48113.19987
379	48107.50789
380	48054.6712
381	47990.33105
382	47965.10798
383	47901.7589
384	47832.62771
385	47796.58906
386	47774.57966
387	47718.53083
388	47664.72692
389	47615.3211
390	47595.68454
391	47581.36923
392	47573.50188
393	47505.97244
394	47451.07728
395	47397.88025
396	47351.30386
397	47301.86586
398	47247.2962
399	47224.02023
400	47211.52675
401	47167.5949
402	47129.41534
403	47103.99238
404	47094.75892
405	47076.08244
406	47050.11103
407	46959.54382
408	46952.88245
409	46868.98562
410	46853.25927
411	46833.1972
412	46773.30387
413	46701.66612
414	46655.68373
415	46603.03749
416	46580.00817
417	46524.65893
418	46475.40463
419	46467.89315
420	46427.41321
421	46367.02569
422	46319.63842
423	46314.24755
424	46285.29962
425	46262.95054
426	46177.59491
427	46170.6043
428	46127.47511
429	46114.76342
430	46106.60243
431	46032.13066
432	45999.88581
433	45932.08822
434	45885.27987
435	45837.33671
436	45760.67343
437	45697.92843
438	45648.2024
439	45641.24654
440	45575.76295
441	45521.52375
442	45515.51224
443	45475.74014
444	45464.17396
445	45444.59435
446	45396.51811
447	45371.80169
448	45334.20465
449	45276.33401
450	45252.66427
451	45247.40458
452	45208.3234
453	45184.58615
454	45167.66862
455	45127.18199
456	45100.82029
457	45089.26865
458	45034.40675
459	44994.84878
460	44944.70786
461	44926.51879
462	44906.9635
463	44880.89045
464	44864.26703
465	44842.82333
466	44808.63798
467	44803.01033
468	44750.13245
469	44672.82162
470	44636.53075
471	44590.42415
472	44581.15592
473	44550.76541
474	44521.88947
475	44479.70817
476	44455.10619
477	44429.59702
478	44422.50413
479	44410.43212
480	44403.21742
481	44392.88651
482	44387.05423
483	44376.44032
484	44308.91533
485	44285.80465
486	44212.63192
487	44195.19377
488	44186.59195
489	44145.89261
490	44093.52621
491	44086.0484
492	44066.72396
493	44061.36839
494	44029.48725
495	43989.05793
496	43890.89995
497	43836.0776
498	43788.20239
499	43741.09758
500	43716.83884
501	43708.87305
502	43654.65642
503	43585.85157
504	43566.86323
505	43561.87221
506	43544.34425
507	43483.08984
508	43453.81622
509	43404.08462
510	43377.69643
511	43340.56539
512	43310.87997
513	43295.36139
514	43271.60285
515	43230.92704
516	43224.4289
517	43167.71367
518	43141.63289
519	43093.85691
520	43066.66327
521	43049.9136
522	43043.39224
523	42996.83478
524	42978.5124
525	42961.54539
526	42929.50084
527	42924.72769
528	42886.13327
529	42855.03932
530	42812.91788
531	42810.35073
532	42777.39333
533	42771.7931
534	42760.28512
535	42728.21959
536	42711.52993
537	42693.72379
538	42644.93549
539	42605.0463
540	42581.11314
541	42485.46277
542	42475.40618
543	42425.25928
544	42390.36024
545	42314.44638
546	42301.10385
547	42248.14913
548	42186.95193
549	42108.12884
550	42051.09778
551	41998.65142
552	41931.9307
553	41889.26588
554	41841.60584
555	41782.79619
556	41749.85753
557	41707.38511
558	41698.34251
559	41692.49333
560	41667.73728
561	41633.53837
562	41602.82992
563	41585.80638
564	41576.3418
565	41530.64872
566	41483.44379
567	41429.42381
568	41416.77159
569	41376.69541
570	41324.85621
571	41288.85267
572	41250.76167
573	41245.40826
574	41201.06318
575	41167.18903
576	41136.00055
577	41132.55938
578	41090.12949
579	41036.20368
580	41027.51646
581	40994.70104
582	40937.4907
583	40933.01307
584	40878.15551
585	40869.5615
586	40823.82329
587	40781.92591
588	40772.94001
589	40708.91858
590	40668.38494
591	40649.74838
592	40610.38344
593	40600.42112
594	40593.06434
595	40578.36159
596	40547.07161
597	40541.91839
598	40509.59048
599	40476.02897
600	40451.30068
601	40426.43304
602	40417.63238
603	40407.68301
604	40395.28359
605	40366.96004
606	40311.63776
607	40305.58296
608	40258.12875
609	40224.18554
610	40213.3643
611	40186.78216
612	40133.8544
613	40084.92194
614	40046.62861
615	40037.63486
616	40018.73108
617	39988.44416
618	39959.79752
619	39920.76375
620	39909.34987
621	39890.53299
622	39860.73924
623	39831.30697
624	39799.14867
625	39766.61954
626	39720.5154
627	39705.62428
628	39700.65626
629	39656.61746
630	39597.5192
631	39556.29907
632	39510.31921
633	39478.21769
634	39444.65269
635	39403.63465
636	39367.83384
637	39326.33336
638	39292.75687
639	39290.63823
640	39237.64842
641	39196.24756
642	39192.28712
643	39162.51522
644	39107.64448
645	39059.00562
646	39000.5922
647	38950.56507
648	38929.92118
649	38889.92396
650	38882.54924
651	38871.76986
652	38839.97324
653	38797.58517
654	38762.61066
655	38759.62919
656	38712.82361
657	38679.04186
658	38658.65031
659	38611.49758
660	38576.83758
661	38547.14381
662	38526.12204
663	38520.98964
664	38500.09846
665	38484.67167
666	38466.02842
667	38440.61677
668	38406.36711
669	38354.00827
670	38326.94691
671	38297.18018
672	38255.30952
673	38250.96402
674	38206.63194
675	38148.40264
676	38144.66084
677	38122.192
678	38111.85964
679	38082.29489
680	38055.19932
681	38019.7091
682	37983.88024
683	37945.37928
684	37918.90262
685	37897.02452
686	37858.57125
687	37813.98946
688	37778.06211
689	37768.06812
690	37748.97328
691	37707.75971
692	37652.06407
693	37601.57988
694	37561.57198
695	37538.97742
696	37534.42617
697	37505.35003
698	37495.21462
699	37452.01451
700	37448.92764
701	37423.3347
702	37386.80312
703	37362.82213
704	37334.04199
705	37294.85725
706	37292.06616
707	37259.68958
708	37251.02543
709	37248.61114
710	37233.46171
711	37211.45734
712	37204.40034
713	37200.53544
714	37170.38611
715	37138.41407
716	37131.07497
717	37113.14716
718	37100.3347
719	37094.33246
720	37086.45558
721	37074.30861
722	37065.14576
723	37041.01994
724	36991.77711
725	36975.65004
726	36954.10714
727	36935.20741
728	36897.75184
729	36882.49899
730	36879.5629
731	36855.14109
732	36833.72785
733	36829.77044
734	36788.31774
735	36770.38
736	36745.08654
737	36704.02846
738	36693.53668
739	36670.54968
740	36646.16344
741	36632.28732
742	36614.1268
743	36571.77431
744	36542.46724
745	36522.7865
746	36482.89006
747	36455.05563
748	36410.10184
749	36382.55751
750	36348.89326
751	36316.69734
752	36307.04979
753	36264.96597
754	36251.90416
755	36222.88312
756	36184.04008
757	36153.87195
758	36132.2717
759	36099.06729
760	36057.75974
761	36016.78307
762	35983.73997
763	35947.89498
764	35897.54016
765	35866.62244
766	35851.92068
767	35833.95214
768	35822.6831
769	35777.30588
770	35714.27346
771	35711.0369
772	35707.69282
773	35672.06312
774	35644.14916
775	35603.88284
776	35574.14459
777	35540.21086
778	35505.83148
779	35493.02202
780	35465.17151
781	35448.10791
782	35444.52057
783	35414.30744
784	35380.06013
785	35338.71007
786	35305.8102
787	35302.30934
788	35300.01612
789	35274.9317
790	35265.56344
791	35262.37205
792	35227.53054
793	35224.62278
794	35201.20498
795	35176.31375
796	35164.20653
797	35144.6925
798	35130.90835
799	35128.29847
800	35111.5599
801	35089.29099
802	35066.34657
803	35057.4326
804	35036.52849
805	35021.89433
806	34999.35551
807	34976.76825
808	34974.21051
809	34952.65178
810	34937.24643
811	34903.13076
812	34869.34141
813	34841.06183
814	34838.50192
815	34807.25735
816	34802.18221
817	34774.4319
818	34767.34167
819	34750.37097
820	34747.28633
821	34702.69713
822	34682.92334
823	34677.19433
824	34644.82951
825	34638.96956
826	34630.33694
827	34593.01805
828	34571.38866
829	34560.23214
830	34544.14629
831	34513.19965
832	34510.5322
833	34483.79527
834	34461.25211
835	34442.50337
836	34429.90944
837	34379.29484
838	34348.69062
839	34331.13555
840	34303.36589
841	34295.9315
842	34282.95048
843	34254.88782
844	34225.60407
845	34220.092
846	34209.78457
847	34205.25574
848	34184.83575
849	34172.82675
850	34140.65112
851	34138.57642
852	34131.18016
853	34096.6196
854	34057.1395
855	34032.58638
856	34011.17422
857	34004.71582
858	33979.33426
859	33951.10414
860	33948.73897
861	33902.19288
862	33878.40106
863	33855.11519
864	33838.54142
865	33805.97948
866	33797.96131
867	33780.1615
868	33773.68179
869	33752.5522
870	33744.52804
871	33723.60955
872	33717.34907
873	33699.82691
874	33665.52857
875	33633.27423
876	33619.48564
877	33617.06364
878	33591.37258
879	33569.6182
880	33539.22389
881	33532.11207
882	33515.03162
883	33477.48008
884	33475.19729
885	33459.16181
886	33430.96196
887	33401.36014
888	33388.21362
889	33384.18773
890	33365.48645
891	33340.57282
892	33314.51058
893	33285.19903
894	33230.3617
895	33223.89133
896	33218.93535
897	33186.99276
898	33181.47991
899	33162.44789
900	33141.20949
901	33135.45673
902	33110.5844
903	33100.4834
904	33094.82164
905	33086.76703
906	33059.78373
907	33049.67792
908	33027.08289
909	32985.58007
910	32983.23046
911	32944.0207
912	32923.78418
913	32895.30082
914	32889.8339
915	32887.85935
916	32840.07836
917	32804.43482
918	32782.80131
919	32753.03261
920	32750.80749
921	32729.57069
922	32724.43528
923	32691.8543
924	32667.9542
925	32626.66137
926	32623.06919
927	32594.07681
928	32570.90469
929	32545.0021
930	32512.66042
931	32503.28732
932	32479.44162
933	32476.32066
934	32443.48647
935	32441.14035
936	32425.92036
937	32397.83278
938	32353.05108
939	32332.366
940	32328.95554
941	32316.08388
942	32298.23854
943	32268.63138
944	32261.3788
945	32249.72092
946	32228.44495
947	32213.55514
948	32177.0668
949	32162.23908
950	32142.5697
951	32124.40587
952	32118.98776
953	32105.54252
954	32102.81572
955	32095.58498
956	32076.22029
957	32047.7367
958	32043.93577
959	32009.21374
960	31969.00989
961	31938.17049
962	31929.83494
963	31910.48407
964	31896.08633
965	31844.63318
966	31829.37453
967	31812.58058
968	31807.59867
969	31797.20424
970	31767.53156
971	31727.44988
972	31721.29201
973	31696.46261
974	31675.10526
975	31670.32547
976	31626.20566
977	31620.95203
978	31604.12567
979	31567.43984
980	31553.60442
981	31525.74393
982	31523.37901
983	31511.89802
984	31480.95705
985	31476.74614
986	31465.47798
987	31463.51094
988	31459.9509
989	31438.42885
990	31436.40894
991	31385.19346
992	31373.81467
993	31357.35192
994	31344.7723
995	31338.97483
996	31325.88941
997	31301.24589
998	31274.06682
999	31258.43582
